Date,Price_USD
2004-01-01,411.8
2004-02-01,414.82
2004-03-01,419.06
2004-04-01,431.3
2004-05-01,433.38
2004-06-01,418.46
2004-07-01,421.1
2004-08-01,415.9
2004-09-01,410.73
2004-10-01,409.6
2004-11-01,411.15
2004-12-01,424.35
2005-01-01,434.71
2005-02-01,440.98
2005-03-01,438.57
2005-04-01,432.56
2005-05-01,438.69
2005-06-01,454.38
2005-07-01,453.94
2005-08-01,450.17
2005-09-01,453.0
2005-10-01,433.98
2005-11-01,429.72
2005-12-01,436.28
2006-01-01,449.29
2006-02-01,451.83
2006-03-01,461.96
2006-04-01,470.21
2006-05-01,483.17
2006-06-01,471.17
2006-07-01,476.92
2006-08-01,456.17
2006-09-01,423.09
2006-10-01,414.28
2006-11-01,403.97
2006-12-01,414.03
2007-01-01,424.21
2007-02-01,416.23
2007-03-01,430.46
2007-04-01,424.69
2007-05-01,427.18
2007-06-01,425.32
2007-07-01,425.68
2007-08-01,431.99
2007-09-01,435.86
2007-10-01,437.2
2007-11-01,443.43
2007-12-01,450.07
2008-01-01,446.61
2008-02-01,443.81
2008-03-01,444.37
2008-04-01,455.09
2008-05-01,455.89
2008-06-01,483.88
2008-07-01,473.0
2008-08-01,457.33
2008-09-01,462.91
2008-10-01,476.75
2008-11-01,481.82
2008-12-01,493.34
2009-01-01,514.87
2009-02-01,519.67
2009-03-01,507.94
2009-04-01,507.1
2009-05-01,523.24
2009-06-01,505.92
2009-07-01,505.34
2009-08-01,505.68
2009-09-01,498.15
2009-10-01,504.34
2009-11-01,510.65
2009-12-01,541.82
2010-01-01,554.55
2010-02-01,552.57
2010-03-01,551.99
2010-04-01,546.95
2010-05-01,564.35
2010-06-01,558.05
2010-07-01,555.95
2010-08-01,563.22
2010-09-01,549.09
2010-10-01,541.95
2010-11-01,515.92
2010-12-01,503.5
2011-01-01,500.39
2011-02-01,511.42
2011-03-01,533.33
2011-04-01,539.3
2011-05-01,547.14
2011-06-01,551.08
2011-07-01,564.92
2011-08-01,574.34
2011-09-01,574.25
2011-10-01,556.49
2011-11-01,567.94
2011-12-01,575.06
2012-01-01,597.29
2012-02-01,603.81
2012-03-01,641.14
2012-04-01,642.87
2012-05-01,673.61
2012-06-01,677.57
2012-07-01,667.47
2012-08-01,644.87
2012-09-01,637.92
2012-10-01,657.0
2012-11-01,669.1
2012-12-01,682.63
2013-01-01,647.55
2013-02-01,666.61
2013-03-01,684.53
2013-04-01,683.11
2013-05-01,677.86
2013-06-01,679.85
2013-07-01,707.81
2013-08-01,685.13
2013-09-01,673.01
2013-10-01,692.11
2013-11-01,683.01
2013-12-01,678.84
2014-01-01,685.93
2014-02-01,672.64
2014-03-01,685.08
2014-04-01,672.35
2014-05-01,692.61
2014-06-01,694.74
2014-07-01,733.01
2014-08-01,734.01
2014-09-01,753.93
2014-10-01,725.1
2014-11-01,721.44
2014-12-01,729.43
2015-01-01,767.1
2015-02-01,743.81
2015-03-01,771.9
2015-04-01,792.31
2015-05-01,829.03
2015-06-01,846.28
2015-07-01,845.69
2015-08-01,829.87
2015-09-01,798.17
2015-10-01,797.55
2015-11-01,792.13
2015-12-01,834.51
2016-01-01,828.44
2016-02-01,844.74
2016-03-01,822.59
2016-04-01,824.04
2016-05-01,836.02
2016-06-01,855.75
2016-07-01,885.01
2016-08-01,879.03
2016-09-01,848.32
2016-10-01,853.23
2016-11-01,862.55
2016-12-01,875.74
2017-01-01,867.42
2017-02-01,902.11
2017-03-01,915.82
2017-04-01,942.52
2017-05-01,980.08
2017-06-01,997.95
2017-07-01,1003.1
2017-08-01,1051.41
2017-09-01,1050.46
2017-10-01,1036.74
2017-11-01,1037.57
2017-12-01,1079.14
2018-01-01,1090.98
2018-02-01,1117.86
2018-03-01,1165.81
2018-04-01,1164.46
2018-05-01,1123.51
2018-06-01,1135.29
2018-07-01,1139.54
2018-08-01,1115.77
2018-09-01,1132.26
2018-10-01,1143.05
2018-11-01,1112.33
2018-12-01,1130.08
2019-01-01,1133.58
2019-02-01,1104.77
2019-03-01,1131.64
2019-04-01,1143.55
2019-05-01,1131.4
2019-06-01,1149.58
2019-07-01,1161.31
2019-08-01,1137.97
2019-09-01,1141.39
2019-10-01,1163.9
2019-11-01,1140.83
2019-12-01,1155.12
2020-01-01,1164.44
2020-02-01,1243.98
2020-03-01,1202.24
2020-04-01,1237.15
2020-05-01,1237.58
2020-06-01,1238.19
2020-07-01,1294.58
2020-08-01,1286.97
2020-09-01,1350.07
2020-10-01,1327.5
2020-11-01,1336.48
2020-12-01,1324.09
2021-01-01,1311.82
2021-02-01,1329.16
2021-03-01,1337.05
2021-04-01,1359.41
2021-05-01,1298.75
2021-06-01,1367.66
2021-07-01,1359.21
2021-08-01,1410.75
2021-09-01,1365.35
2021-10-01,1367.61
2021-11-01,1473.08
2021-12-01,1445.47
2022-01-01,1403.0
2022-02-01,1400.19
2022-03-01,1434.93
2022-04-01,1476.54
2022-05-01,1535.98
2022-06-01,1530.72
2022-07-01,1466.34
2022-08-01,1442.1
2022-09-01,1476.71
2022-10-01,1485.55
2022-11-01,1409.9
2022-12-01,1412.89
2023-01-01,1473.58
2023-02-01,1569.11
2023-03-01,1611.54
2023-04-01,1642.79
2023-05-01,1605.0
2023-06-01,1575.98
2023-07-01,1574.67
2023-08-01,1585.57
2023-09-01,1597.47
2023-10-01,1569.33
2023-11-01,1521.0
2023-12-01,1495.98
