Month,Recession_Trend
2004-01,14.2
2004-02,23.2
2004-03,8.4
2004-04,18.3
2004-05,22.2
2004-06,27.6
2004-07,20.4
2004-08,25.0
2004-09,18.0
2004-10,16.3
2004-11,16.6
2004-12,27.6
2005-01,25.0
2005-02,22.4
2005-03,36.7
2005-04,19.8
2005-05,23.1
2005-06,21.5
2005-07,18.9
2005-08,31.6
2005-09,27.5
2005-10,13.0
2005-11,18.0
2005-12,22.1
2006-01,23.9
2006-02,13.3
2006-03,8.7
2006-04,10.5
2006-05,19.6
2006-06,19.5
2006-07,21.7
2006-08,16.2
2006-09,13.9
2006-10,9.9
2006-11,21.6
2006-12,21.9
2007-01,25.0
2007-02,24.0
2007-03,19.0
2007-04,26.7
2007-05,19.3
2007-06,16.7
2007-07,17.4
2007-08,17.1
2007-09,9.2
2007-10,20.8
2007-11,21.2
2007-12,18.2
2008-01,35.9
2008-02,49.3
2008-03,65.0
2008-04,65.5
2008-05,70.4
2008-06,75.2
2008-07,79.7
2008-08,71.8
2008-09,72.3
2008-10,65.6
2008-11,65.6
2008-12,52.2
2009-01,44.6
2009-02,16.4
2009-03,23.3
2009-04,14.3
2009-05,21.6
2009-06,22.1
2009-07,16.2
2009-08,30.0
2009-09,22.8
2009-10,10.5
2009-11,22.8
2009-12,18.0
2010-01,20.0
2010-02,22.3
2010-03,22.0
2010-04,9.8
2010-05,14.2
2010-06,23.9
2010-07,26.5
2010-08,29.5
2010-09,29.0
2010-10,9.7
2010-11,23.8
2010-12,10.4
2011-01,28.1
2011-02,21.3
2011-03,14.3
2011-04,30.0
2011-05,23.2
2011-06,10.5
2011-07,21.5
2011-08,16.3
2011-09,20.6
2011-10,17.7
2011-11,26.9
2011-12,12.9
2012-01,21.6
2012-02,29.1
2012-03,15.9
2012-04,21.1
2012-05,21.0
2012-06,16.6
2012-07,23.2
2012-08,20.5
2012-09,15.3
2012-10,28.8
2012-11,24.0
2012-12,19.2
2013-01,16.8
2013-02,16.1
2013-03,26.2
2013-04,19.3
2013-05,22.3
2013-06,19.1
2013-07,23.1
2013-08,19.4
2013-09,23.8
2013-10,19.1
2013-11,24.1
2013-12,23.4
2014-01,19.4
2014-02,15.7
2014-03,15.3
2014-04,16.3
2014-05,15.1
2014-06,24.3
2014-07,19.8
2014-08,27.9
2014-09,31.4
2014-10,20.1
2014-11,12.3
2014-12,18.1
2015-01,19.6
2015-02,12.6
2015-03,18.7
2015-04,21.4
2015-05,17.7
2015-06,16.2
2015-07,16.2
2015-08,28.9
2015-09,19.2
2015-10,15.9
2015-11,18.1
2015-12,24.8
2016-01,16.6
2016-02,22.4
2016-03,23.6
2016-04,23.7
2016-05,27.0
2016-06,17.2
2016-07,25.7
2016-08,16.0
2016-09,18.0
2016-10,26.0
2016-11,24.1
2016-12,20.0
2017-01,14.0
2017-02,22.8
2017-03,16.8
2017-04,15.4
2017-05,16.8
2017-06,21.2
2017-07,9.4
2017-08,21.8
2017-09,20.9
2017-10,17.1
2017-11,25.2
2017-12,23.1
2018-01,17.0
2018-02,16.6
2018-03,23.5
2018-04,12.4
2018-05,18.3
2018-06,16.8
2018-07,20.3
2018-08,21.1
2018-09,20.2
2018-10,25.7
2018-11,21.1
2018-12,18.4
2019-01,13.9
2019-02,23.6
2019-03,22.6
2019-04,27.3
2019-05,16.3
2019-06,20.1
2019-07,19.7
2019-08,19.6
2019-09,20.1
2019-10,11.4
2019-11,24.1
2019-12,23.3
2020-01,68.1
2020-02,87.3
2020-03,84.6
2020-04,89.8
2020-05,86.3
2020-06,85.8
2020-07,53.8
2020-08,51.2
2020-09,30.1
2020-10,16.6
2020-11,14.5
2020-12,15.1
2021-01,26.1
2021-02,15.7
2021-03,18.9
2021-04,14.2
2021-05,23.1
2021-06,14.5
2021-07,26.6
2021-08,15.0
2021-09,16.2
2021-10,20.6
2021-11,20.1
2021-12,27.1
2022-01,44.9
2022-02,44.2
2022-03,52.5
2022-04,55.9
2022-05,63.6
2022-06,60.7
2022-07,54.7
2022-08,54.5
2022-09,41.6
2022-10,37.6
2022-11,33.9
2022-12,36.3
2023-01,24.9
2023-02,18.2
2023-03,14.8
2023-04,23.4
2023-05,17.1
2023-06,21.7
2023-07,10.5
2023-08,25.2
2023-09,13.3
2023-10,16.1
2023-11,25.3
2023-12,13.3
