Category: All categories

Month,inflation: (Worldwide)
2004-01,33
2004-02,30
2004-03,34
2004-04,33
2004-05,32
2004-06,27
2004-07,24
2004-08,25
2004-09,27
2004-10,27
2004-11,29
2004-12,26
2005-01,27
2005-02,29
2005-03,30
2005-04,31
2005-05,26
2005-06,21
2005-07,20
2005-08,20
2005-09,25
2005-10,27
2005-11,29
2005-12,25
2006-01,27
2006-02,25
2006-03,30
2006-04,27
2006-05,28
2006-06,24
2006-07,19
2006-08,20
2006-09,22
2006-10,24
2006-11,25
2006-12,23
2007-01,25
2007-02,26
2007-03,25
2007-04,26
2007-05,24
2007-06,21
2007-07,21
2007-08,20
2007-09,23
2007-10,24
2007-11,29
2007-12,24
2008-01,30
2008-02,30
2008-03,31
2008-04,36
2008-05,32
2008-06,35
2008-07,31
2008-08,26
2008-09,29
2008-10,32
2008-11,28
2008-12,25
2009-01,25
2009-02,27
2009-03,30
2009-04,24
2009-05,22
2009-06,21
2009-07,17
2009-08,17
2009-09,20
2009-10,21
2009-11,23
2009-12,19
2010-01,21
2010-02,22
2010-03,22
2010-04,22
2010-05,22
2010-06,17
2010-07,17
2010-08,17
2010-09,18
2010-10,21
2010-11,24
2010-12,20
2011-01,24
2011-02,26
2011-03,24
2011-04,25
2011-05,24
2011-06,20
2011-07,19
2011-08,20
2011-09,21
2011-10,22
2011-11,24
2011-12,20
2012-01,21
2012-02,21
2012-03,22
2012-04,21
2012-05,19
2012-06,17
2012-07,16
2012-08,16
2012-09,20
2012-10,20
2012-11,20
2012-12,17
2013-01,19
2013-02,20
2013-03,20
2013-04,20
2013-05,20
2013-06,16
2013-07,16
2013-08,16
2013-09,18
2013-10,18
2013-11,20
2013-12,19
2014-01,20
2014-02,20
2014-03,21
2014-04,21
2014-05,20
2014-06,18
2014-07,16
2014-08,16
2014-09,18
2014-10,20
2014-11,21
2014-12,18
2015-01,20
2015-02,21
2015-03,21
2015-04,22
2015-05,20
2015-06,17
2015-07,16
2015-08,16
2015-09,19
2015-10,21
2015-11,18
2015-12,20
2016-01,18
2016-02,20
2016-03,20
2016-04,20
2016-05,20
2016-06,16
2016-07,14
2016-08,16
2016-09,18
2016-10,19
2016-11,21
2016-12,18
2017-01,19
2017-02,21
2017-03,22
2017-04,22
2017-05,20
2017-06,17
2017-07,16
2017-08,15
2017-09,18
2017-10,20
2017-11,21
2017-12,20
2018-01,19
2018-02,24
2018-03,22
2018-04,22
2018-05,20
2018-06,15
2018-07,17
2018-08,18
2018-09,24
2018-10,23
2018-11,21
2018-12,19
2019-01,19
2019-02,21
2019-03,22
2019-04,21
2019-05,20
2019-06,16
2019-07,17
2019-08,17
2019-09,19
2019-10,19
2019-11,21
2019-12,19
2020-01,20
2020-02,21
2020-03,22
2020-04,23
2020-05,20
2020-06,17
2020-07,18
2020-08,18
2020-09,21
2020-10,20
2020-11,19
2020-12,20
2021-01,20
2021-02,26
2021-03,27
2021-04,25
2021-05,34
2021-06,28
2021-07,25
2021-08,22
2021-09,26
2021-10,36
2021-11,41
2021-12,43
2022-01,51
2022-02,51
2022-03,56
2022-04,57
2022-05,59
2022-06,66
2022-07,58
2022-08,69
2022-09,63
2022-10,65
2022-11,59
2022-12,46
2023-01,49
2023-02,52
2023-03,48
2023-04,43
2023-05,42
2023-06,40
2023-07,40
2023-08,39
2023-09,42
2023-10,41
2023-11,41
2023-12,39
2024-01,42
2024-02,49
2024-03,44
2024-04,44
2024-05,43
2024-06,37
2024-07,37
2024-08,40
2024-09,40
2024-10,38
2024-11,43
2024-12,36
2025-01,40
2025-02,42
2025-03,41
2025-04,38
2025-05,36
2025-06,32
2025-07,40
2025-08,85
2025-09,100
2025-10,89
2025-11,93
2025-12,89
2026-01,71
2026-02,76
2026-03,48
