Category: All categories

Month,stock market crash: (Worldwide),inflation: (Worldwide),recession: (Worldwide),financial crisis: (Worldwide),cost of living: (Worldwide)
2004-01,3,32,3,1,28
2004-02,4,31,3,2,32
2004-03,4,35,3,2,30
2004-04,4,33,3,2,31
2004-05,3,31,3,2,27
2004-06,2,26,3,1,27
2004-07,1,25,2,1,30
2004-08,1,25,2,1,26
2004-09,2,26,3,1,25
2004-10,2,26,3,1,23
2004-11,3,30,3,2,24
2004-12,2,27,2,2,22
2005-01,2,26,2,1,25
2005-02,3,26,3,1,25
2005-03,3,30,2,1,26
2005-04,3,31,3,2,25
2005-05,3,28,3,1,22
2005-06,1,22,2,1,24
2005-07,1,20,2,1,25
2005-08,1,22,2,1,23
2005-09,1,25,3,1,20
2005-10,2,29,3,1,19
2005-11,2,29,3,1,20
2005-12,2,25,2,1,20
2006-01,2,27,2,1,25
2006-02,2,25,2,1,24
2006-03,3,28,3,1,23
2006-04,2,28,2,1,21
2006-05,2,28,2,1,21
2006-06,1,24,2,1,21
2006-07,1,19,2,1,22
2006-08,1,21,2,1,21
2006-09,1,22,3,1,20
2006-10,2,24,2,1,19
2006-11,2,25,3,1,17
2006-12,1,22,2,1,16
2007-01,2,26,2,1,21
2007-02,2,26,3,1,19
2007-03,3,26,4,1,19
2007-04,2,25,3,1,18
2007-05,2,24,3,1,18
2007-06,1,21,2,1,19
2007-07,1,20,1,1,19
2007-08,2,19,4,1,17
2007-09,1,23,6,1,16
2007-10,2,25,4,1,17
2007-11,2,28,6,1,15
2007-12,1,23,6,1,14
2008-01,3,30,30,1,18
2008-02,2,28,14,1,16
2008-03,2,31,17,2,16
2008-04,2,34,14,1,17
2008-05,2,32,9,1,15
2008-06,1,33,7,1,15
2008-07,1,31,11,1,16
2008-08,1,26,11,1,14
2008-09,5,30,19,10,14
2008-10,5,32,35,24,14
2008-11,2,28,29,16,11
2008-12,2,25,31,11,11
2009-01,1,25,30,10,12
2009-02,2,27,34,11,11
2009-03,2,30,35,11,11
2009-04,2,24,27,10,11
2009-05,1,22,22,8,10
2009-06,1,20,17,5,11
2009-07,1,17,17,4,12
2009-08,1,17,17,4,12
2009-09,1,19,16,5,11
2009-10,1,21,16,6,11
2009-11,1,21,16,7,11
2009-12,1,19,13,4,10
2010-01,1,21,12,4,12
2010-02,1,24,12,4,11
2010-03,2,23,12,5,12
2010-04,2,22,11,6,11
2010-05,2,25,9,6,10
2010-06,1,18,8,3,11
2010-07,1,16,7,3,11
2010-08,1,17,8,3,11
2010-09,1,18,10,3,11
2010-10,1,22,9,4,11
2010-11,1,24,10,4,10
2010-12,1,20,7,3,9
2011-01,1,23,7,3,12
2011-02,1,25,7,3,11
2011-03,2,24,8,4,11
2011-04,1,26,7,4,12
2011-05,1,24,7,4,11
2011-06,1,20,6,3,11
2011-07,1,18,6,3,12
2011-08,2,21,15,4,12
2011-09,1,21,10,3,11
2011-10,1,22,10,4,11
2011-11,1,24,10,5,11
2011-12,1,20,8,4,10
2012-01,1,21,7,3,11
2012-02,1,21,7,3,11
2012-03,1,21,7,3,11
2012-04,1,21,7,3,10
2012-05,1,20,7,4,10
2012-06,1,17,6,3,10
2012-07,1,16,5,2,10
2012-08,1,16,5,2,10
2012-09,1,21,6,3,10
2012-10,1,21,7,3,10
2012-11,1,20,7,3,9
2012-12,1,17,5,2,8
2013-01,1,18,5,3,11
2013-02,1,20,6,2,10
2013-03,1,21,5,3,11
2013-04,1,22,6,3,10
2013-05,1,19,5,3,10
2013-06,1,16,4,2,9
2013-07,1,15,3,2,12
2013-08,1,15,4,2,10
2013-09,1,18,4,2,10
2013-10,1,19,5,3,10
2013-11,1,20,5,3,9
2013-12,1,19,4,2,9
2014-01,1,20,4,2,12
2014-02,1,21,4,2,11
2014-03,1,21,5,2,11
2014-04,2,22,5,2,11
2014-05,1,20,4,2,11
2014-06,1,18,3,2,11
2014-07,1,15,3,2,11
2014-08,1,16,3,1,10
2014-09,1,19,4,2,10
2014-10,2,19,5,2,10
2014-11,1,20,6,2,10
2014-12,1,19,4,2,9
2015-01,1,21,5,2,11
2015-02,1,21,4,2,11
2015-03,1,21,5,2,11
2015-04,1,22,5,2,11
2015-05,1,20,4,2,11
2015-06,1,17,4,3,11
2015-07,2,16,4,3,12
2015-08,5,16,4,2,11
2015-09,2,18,6,2,10
2015-10,1,19,5,2,11
2015-11,1,20,5,2,10
2015-12,1,19,5,2,10
2016-01,3,20,6,3,11
2016-02,2,20,7,3,10
2016-03,2,19,5,3,11
2016-04,2,21,6,3,11
2016-05,1,21,5,2,11
2016-06,2,16,5,2,10
2016-07,1,15,4,1,10
2016-08,1,15,4,1,10
2016-09,1,17,6,2,10
2016-10,1,19,6,2,10
2016-11,3,21,7,2,10
2016-12,1,18,5,2,10
2017-01,1,19,5,2,11
2017-02,2,20,5,2,11
2017-03,2,22,5,2,11
2017-04,1,20,5,2,11
2017-05,1,21,5,2,11
2017-06,1,17,4,2,11
2017-07,1,16,3,1,11
2017-08,1,15,3,1,10
2017-09,1,18,4,2,10
2017-10,1,21,5,2,11
